City,Body_Type,Ownerno,Company,Model,Modelyear,Variantname,Price,Registration_Year,Insurance_Validity,Fuel_Type,Seats,Kms_Driven,Transmission,Year_Of_Manufacture,Engine,Mileage,Age_Old_In_Year
chennai,Hatchback,1,Hyundai,Grand i10,2016,Asta,13.14412486918584,2016,Comprehensive,Petrol,5,69731,Manual,2016,1197,18.9,8
chennai,Sedan,2,Honda,City,2016,i VTEC,13.34550692871854,2016,Comprehensive,Petrol,5,54000,Manual,2016,1497,17.8,8
chennai,Hatchback,2,Nissan,Micra Active,2016,XV Petrol,12.697715449879391,2016,Comprehensive,Petrol,5,110267,Manual,2016,1198,19.49,8
chennai,SUV,1,Mahindra,KUV 100,2018,G80,13.132313708257495,2018,Third Party,Petrol,6,31767,Manual,2018,1198,18.15,6
chennai,SUV,2,Honda,WR-V,2018,i-VTEC,13.369223455335854,2018,Comprehensive,Petrol,5,45677,Manual,2018,1199,17.5,6
chennai,Hatchback,1,Maruti,Celerio,2017,ZXI,13.01477816672439,2017,Comprehensive,Petrol,5,66656,Manual,2017,998,25.24,7
chennai,Sedan,1,Honda,Amaze,2019,S Diesel,13.493926933836812,2019,Comprehensive,Diesel,5,27000,Manual,2019,1498,24.7,5
chennai,Hatchback,1,Renault,KWID,2021,RXT,13.112313041550829,2021,Comprehensive,Petrol,5,37004,Manual,2021,999,21.74,3
chennai,Hatchback,2,Hyundai,i10,2011,Magna,12.509874099861838,2011,Comprehensive,Petrol,5,85274,Manual,2011,1197,20.36,13
chennai,SUV,2,Hyundai,Creta,2017,CRDi,13.753635154246188,2017,Third Party,Diesel,5,60000,Manual,2017,1582,19.67,7
chennai,Sedan,1,Honda,City,2017,V MT,13.591116224748411,2017,Comprehensive,Petrol,5,42000,Manual,2017,1497,17.4,7
chennai,SUV,1,Hyundai,Creta,2022,SX Opt,14.430696197054507,2022,Third Party,Diesel,5,20000,Manual,2022,1493,22.1,2
chennai,MUV,1,Kia,Carens,2022,Luxury Plus,14.50865773852422,2022,Third Party,Diesel,7,30000,Automatic,2022,1493,14.11,2
chennai,Sedan,1,Mercedes-Benz,E-Class,2017,Exclusive,15.319587954740548,2017,Comprehensive,Diesel,5,25000,Automatic,2017,1950,16.1,7
chennai,SUV,3,Mahindra,XUV500,2014,W6,13.458835614025542,2014,Third Party,Diesel,7,80000,Manual,2014,2179,15.1,10
chennai,Sedan,2,Hyundai,Verna,2015,1.6 SX,13.279367126213993,2015,Third Party,Petrol,5,60000,Manual,2015,1591,17.1,9
chennai,SUV,1,Tata,Harrier,2022,XZ,14.53335035111459,2022,Third Party,Diesel,5,20000,Manual,2022,1956,16.35,2
chennai,SUV,1,MG,Hector,2022,Sharp,14.503644694187988,2022,Third Party,Petrol,5,20000,Automatic,2022,1451,13.96,2
chennai,SUV,1,MG,Hector,2022,Sharp,14.503644694187988,2022,Third Party,Petrol,5,20000,Automatic,2022,1451,13.96,2
chennai,SUV,2,Hyundai,Creta,2020,SX Opt,14.183619879528669,2020,Third Party,Diesel,5,55037,Manual,2020,1493,22.1,4
chennai,Hatchback,1,Hyundai,Santro,2018,Magna,13.019222618484816,2019,Zero Dep,Petrol,5,65607,Manual,2018,1086,20.3,5
